|dates|NewportNews_Virginia_UnitedStates.JHU_ConfirmedCases.data|NewportNews_Virginia_UnitedStates.JHU_ConfirmedCases.missing|NewportNews_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|NewportNews_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|NewportNews_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|NewportNews_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|193.0|0|10.0|0|0.0|0
0|2020-05-18|206.0|0|10.0|0|0.0|0
0|2020-05-19|209.0|0|10.0|0|0.0|0
0|2020-05-20|211.0|0|10.0|0|0.0|0
0|2020-05-21|215.0|0|10.0|0|0.0|0
0|2020-05-22|224.0|0|10.0|0|0.0|0
0|2020-05-23|224.0|0|10.0|0|0.0|0
