|dates|Franklin_Vermont_UnitedStates.JHU_ConfirmedCases.data|Franklin_Vermont_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Vermont_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Vermont_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Vermont_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Vermont_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|99.0|0|5.0|0|0.0|0
0|2020-05-18|99.0|0|5.0|0|0.0|0
0|2020-05-19|99.0|0|5.0|0|0.0|0
0|2020-05-20|99.0|0|5.0|0|0.0|0
0|2020-05-21|99.0|0|5.0|0|0.0|0
0|2020-05-22|99.0|0|5.0|0|0.0|0
0|2020-05-23|99.0|0|5.0|0|0.0|0
