|dates|Faribault_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Faribault_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Faribault_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|9.0|0|0.0|0|0.0|0
0|2020-05-15|12.0|0|0.0|0|0.0|0
0|2020-05-16|12.0|0|0.0|0|0.0|0
