|dates|Troup_Georgia_UnitedStates.JHU_ConfirmedCases.data|Troup_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Troup_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Troup_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Troup_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Troup_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|200.0|0|6.0|0|0.0|0
0|2020-05-18|201.0|0|6.0|0|0.0|0
0|2020-05-19|213.0|0|6.0|0|0.0|0
0|2020-05-20|215.0|0|6.0|0|0.0|0
0|2020-05-21|227.0|0|8.0|0|0.0|0
0|2020-05-22|238.0|0|9.0|0|0.0|0
0|2020-05-23|238.0|0|9.0|0|0.0|0
