|dates|Mendocino_California_UnitedStates.JHU_ConfirmedCases.data|Mendocino_California_UnitedStates.JHU_ConfirmedCases.missing|Mendocino_California_UnitedStates.JHU_ConfirmedDeaths.data|Mendocino_California_UnitedStates.JHU_ConfirmedDeaths.missing|Mendocino_California_UnitedStates.JHU_ConfirmedRecoveries.data|Mendocino_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|21.0|0|0.0|0|0.0|0
0|2020-05-25|21.0|0|0.0|0|0.0|0
0|2020-05-26|21.0|0|0.0|0|0.0|0
