|dates|Ogle_Illinois_UnitedStates.JHU_ConfirmedCases.data|Ogle_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Ogle_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Ogle_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Ogle_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Ogle_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|163.0|0|2.0|0|0.0|0
0|2020-05-15|165.0|0|2.0|0|0.0|0
0|2020-05-16|165.0|0|2.0|0|0.0|0
