|dates|Platte_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Platte_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Platte_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Platte_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Platte_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Platte_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|547.0|0|1.0|0|0.0|0
0|2020-05-28|547.0|0|1.0|0|0.0|0
0|2020-05-29|547.0|0|1.0|0|0.0|0
0|2020-05-30|547.0|0|1.0|0|0.0|0
