|dates|OutofNY_NewYork_UnitedStates.JHU_ConfirmedCases.data|OutofNY_NewYork_UnitedStates.JHU_ConfirmedCases.missing|OutofNY_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|OutofNY_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|OutofNY_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|OutofNY_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|0.0|0|0.0|0|0.0|0
0|2020-05-25|0.0|0|0.0|0|0.0|0
0|2020-05-26|0.0|0|0.0|0|0.0|0
