|dates|Marshall_Iowa_UnitedStates.JHU_ConfirmedCases.data|Marshall_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|794.0|0|5.0|0|0.0|0
0|2020-05-18|804.0|0|5.0|0|0.0|0
0|2020-05-19|817.0|0|7.0|0|0.0|0
0|2020-05-20|827.0|0|7.0|0|0.0|0
0|2020-05-21|842.0|0|8.0|0|0.0|0
0|2020-05-22|852.0|0|9.0|0|0.0|0
0|2020-05-23|852.0|0|9.0|0|0.0|0
