|dates|Berrien_Michigan_UnitedStates.JHU_ConfirmedCases.data|Berrien_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Berrien_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Berrien_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Berrien_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Berrien_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|522.0|0|29.0|0|0.0|0
0|2020-05-18|528.0|0|30.0|0|0.0|0
0|2020-05-19|538.0|0|33.0|0|0.0|0
0|2020-05-20|552.0|0|34.0|0|0.0|0
0|2020-05-21|564.0|0|40.0|0|0.0|0
0|2020-05-22|571.0|0|43.0|0|0.0|0
0|2020-05-23|571.0|0|43.0|0|0.0|0
