|dates|Hampshire_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Hampshire_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Hampshire_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Hampshire_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Hampshire_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Hampshire_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|11.0|0|1.0|0|0.0|0
0|2020-05-15|12.0|0|1.0|0|0.0|0
0|2020-05-16|12.0|0|1.0|0|0.0|0
