|dates|Yates_NewYork_UnitedStates.JHU_ConfirmedCases.data|Yates_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Yates_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Yates_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Yates_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Yates_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|39.0|0|6.0|0|0.0|0
0|2020-05-28|39.0|0|6.0|0|0.0|0
0|2020-05-29|39.0|0|6.0|0|0.0|0
0|2020-05-30|39.0|0|6.0|0|0.0|0
