|dates|Wilson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Wilson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Wilson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Wilson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Wilson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Wilson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|330.0|0|10.0|0|0.0|0
0|2020-05-28|330.0|0|10.0|0|0.0|0
0|2020-05-29|330.0|0|10.0|0|0.0|0
0|2020-05-30|330.0|0|10.0|0|0.0|0
