|dates|Cascade_Montana_UnitedStates.JHU_ConfirmedCases.data|Cascade_Montana_UnitedStates.JHU_ConfirmedCases.missing|Cascade_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Cascade_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Cascade_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Cascade_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|17.0|0|2.0|0|0.0|0
0|2020-05-28|17.0|0|2.0|0|0.0|0
0|2020-05-29|17.0|0|2.0|0|0.0|0
0|2020-05-30|17.0|0|2.0|0|0.0|0
