|dates|Greene_Ohio_UnitedStates.JHU_ConfirmedCases.data|Greene_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Greene_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|70.0|0|5.0|0|0.0|0
0|2020-05-15|73.0|0|5.0|0|0.0|0
0|2020-05-16|73.0|0|5.0|0|0.0|0
