|dates|Manassas_Virginia_UnitedStates.JHU_ConfirmedCases.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Manassas_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Manassas_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|966.0|0|10.0|0|0.0|0
0|2020-05-28|966.0|0|10.0|0|0.0|0
0|2020-05-29|966.0|0|10.0|0|0.0|0
0|2020-05-30|966.0|0|10.0|0|0.0|0
