|dates|Greene_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Greene_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Greene_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Greene_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|40.0|0|1.0|0|0.0|0
0|2020-05-15|40.0|0|1.0|0|0.0|0
0|2020-05-16|40.0|0|1.0|0|0.0|0
