|dates|Marion_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Marion_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Marion_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Marion_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|51.0|0|2.0|0|0.0|0
0|2020-05-28|51.0|0|2.0|0|0.0|0
0|2020-05-29|51.0|0|2.0|0|0.0|0
0|2020-05-30|51.0|0|2.0|0|0.0|0
