|dates|Marion_Alabama_UnitedStates.JHU_ConfirmedCases.data|Marion_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Marion_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|101.0|0|9.0|0|0.0|0
0|2020-05-18|103.0|0|9.0|0|0.0|0
0|2020-05-19|106.0|0|9.0|0|0.0|0
0|2020-05-20|108.0|0|10.0|0|0.0|0
0|2020-05-21|108.0|0|10.0|0|0.0|0
0|2020-05-22|107.0|0|10.0|0|0.0|0
0|2020-05-23|107.0|0|10.0|0|0.0|0
