|dates|Spalding_Georgia_UnitedStates.JHU_ConfirmedCases.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Spalding_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Spalding_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|264.0|0|20.0|0|0.0|0
0|2020-05-28|264.0|0|20.0|0|0.0|0
0|2020-05-29|264.0|0|20.0|0|0.0|0
0|2020-05-30|264.0|0|20.0|0|0.0|0
