|dates|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Chatham_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|490.0|0|11.0|0|0.0|0
0|2020-05-15|495.0|0|24.0|0|0.0|0
0|2020-05-16|495.0|0|24.0|0|0.0|0
