|dates|Leake_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Leake_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Leake_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Leake_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Leake_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Leake_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|353.0|0|6.0|0|0.0|0
0|2020-05-18|361.0|0|6.0|0|0.0|0
0|2020-05-19|364.0|0|7.0|0|0.0|0
0|2020-05-20|367.0|0|7.0|0|0.0|0
0|2020-05-21|368.0|0|7.0|0|0.0|0
0|2020-05-22|373.0|0|8.0|0|0.0|0
0|2020-05-23|373.0|0|8.0|0|0.0|0
