|dates|SanJoaquin_California_UnitedStates.JHU_ConfirmedCases.data|SanJoaquin_California_UnitedStates.JHU_ConfirmedCases.missing|SanJoaquin_California_UnitedStates.JHU_ConfirmedDeaths.data|SanJoaquin_California_UnitedStates.JHU_ConfirmedDeaths.missing|SanJoaquin_California_UnitedStates.JHU_ConfirmedRecoveries.data|SanJoaquin_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|689.0|0|32.0|0|0.0|0
0|2020-05-18|699.0|0|32.0|0|0.0|0
0|2020-05-19|709.0|0|33.0|0|0.0|0
0|2020-05-20|716.0|0|33.0|0|0.0|0
0|2020-05-21|733.0|0|33.0|0|0.0|0
0|2020-05-22|752.0|0|33.0|0|0.0|0
0|2020-05-23|752.0|0|33.0|0|0.0|0
