|dates|Clarion_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Clarion_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Clarion_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Clarion_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Clarion_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Clarion_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|24.0|0|1.0|0|0.0|0
0|2020-05-15|24.0|0|1.0|0|0.0|0
0|2020-05-16|24.0|0|1.0|0|0.0|0
