|dates|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|607.0|0|1.0|0|0.0|0
0|2020-05-18|607.0|0|1.0|0|0.0|0
0|2020-05-19|607.0|0|1.0|0|0.0|0
0|2020-05-20|607.0|0|1.0|0|0.0|0
0|2020-05-21|607.0|0|1.0|0|0.0|0
0|2020-05-22|607.0|0|1.0|0|0.0|0
0|2020-05-23|607.0|0|1.0|0|0.0|0
