|dates|Greene_Virginia_UnitedStates.JHU_ConfirmedCases.data|Greene_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Greene_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|16.0|0|1.0|0|0.0|0
0|2020-05-15|16.0|0|1.0|0|0.0|0
0|2020-05-16|16.0|0|1.0|0|0.0|0
