|dates|Grundy_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Grundy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Grundy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Grundy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|30.0|0|1.0|0|0.0|0
0|2020-05-18|30.0|0|1.0|0|0.0|0
0|2020-05-19|31.0|0|1.0|0|0.0|0
0|2020-05-20|31.0|0|1.0|0|0.0|0
0|2020-05-21|31.0|0|1.0|0|0.0|0
0|2020-05-22|31.0|0|1.0|0|0.0|0
0|2020-05-23|31.0|0|1.0|0|0.0|0
