|dates|Pickens_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Pickens_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Pickens_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Pickens_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Pickens_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Pickens_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|93.0|0|3.0|0|0.0|0
0|2020-05-18|93.0|0|3.0|0|0.0|0
0|2020-05-19|94.0|0|3.0|0|0.0|0
0|2020-05-20|97.0|0|3.0|0|0.0|0
0|2020-05-21|104.0|0|3.0|0|0.0|0
0|2020-05-22|110.0|0|3.0|0|0.0|0
0|2020-05-23|110.0|0|3.0|0|0.0|0
