|dates|Brooks_Georgia_UnitedStates.JHU_ConfirmedCases.data|Brooks_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Brooks_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Brooks_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Brooks_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Brooks_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|63.0|0|9.0|0|0.0|0
0|2020-05-18|64.0|0|9.0|0|0.0|0
0|2020-05-19|66.0|0|9.0|0|0.0|0
0|2020-05-20|66.0|0|9.0|0|0.0|0
0|2020-05-21|66.0|0|9.0|0|0.0|0
0|2020-05-22|66.0|0|9.0|0|0.0|0
0|2020-05-23|66.0|0|9.0|0|0.0|0
