|dates|Wasatch_Utah_UnitedStates.JHU_ConfirmedCases.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedCases.missing|Wasatch_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Wasatch_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|241.0|0|1.0|0|0.0|0
0|2020-05-25|247.0|0|1.0|0|0.0|0
0|2020-05-26|247.0|0|1.0|0|0.0|0
