|dates|Shelby_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Shelby_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|75.0|0|3.0|0|0.0|0
0|2020-05-18|76.0|0|3.0|0|0.0|0
0|2020-05-19|78.0|0|3.0|0|0.0|0
0|2020-05-20|82.0|0|3.0|0|0.0|0
0|2020-05-21|84.0|0|3.0|0|0.0|0
0|2020-05-22|89.0|0|4.0|0|0.0|0
0|2020-05-23|89.0|0|4.0|0|0.0|0
