|dates|Calhoun_Georgia_UnitedStates.JHU_ConfirmedCases.data|Calhoun_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Calhoun_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Calhoun_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Calhoun_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Calhoun_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|130.0|0|5.0|0|0.0|0
0|2020-05-28|130.0|0|5.0|0|0.0|0
0|2020-05-29|130.0|0|5.0|0|0.0|0
0|2020-05-30|130.0|0|5.0|0|0.0|0
