|dates|Calhoun_Alabama_UnitedStates.JHU_ConfirmedCases.data|Calhoun_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Calhoun_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Calhoun_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Calhoun_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Calhoun_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|128.0|0|3.0|0|0.0|0
0|2020-05-15|129.0|0|3.0|0|0.0|0
0|2020-05-16|129.0|0|3.0|0|0.0|0
