|dates|St.Clair_Alabama_UnitedStates.JHU_ConfirmedCases.data|St.Clair_Alabama_UnitedStates.JHU_ConfirmedCases.missing|St.Clair_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|St.Clair_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|St.Clair_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|St.Clair_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|88.0|0|1.0|0|0.0|0
0|2020-05-15|88.0|0|1.0|0|0.0|0
0|2020-05-16|88.0|0|1.0|0|0.0|0
