|dates|Floyd_Indiana_UnitedStates.JHU_ConfirmedCases.data|Floyd_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Floyd_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Floyd_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Floyd_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Floyd_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|297.0|0|37.0|0|0.0|0
0|2020-05-18|301.0|0|37.0|0|0.0|0
0|2020-05-19|304.0|0|38.0|0|0.0|0
0|2020-05-20|306.0|0|38.0|0|0.0|0
0|2020-05-21|309.0|0|38.0|0|0.0|0
0|2020-05-22|311.0|0|38.0|0|0.0|0
0|2020-05-23|311.0|0|38.0|0|0.0|0
