|dates|Talbot_Maryland_UnitedStates.JHU_ConfirmedCases.data|Talbot_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Talbot_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Talbot_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Talbot_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Talbot_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|84.0|0|1.0|0|0.0|0
0|2020-05-28|84.0|0|1.0|0|0.0|0
0|2020-05-29|84.0|0|1.0|0|0.0|0
0|2020-05-30|84.0|0|1.0|0|0.0|0
