|dates|Clinton_Michigan_UnitedStates.JHU_ConfirmedCases.data|Clinton_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Clinton_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Clinton_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Clinton_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Clinton_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|134.0|0|10.0|0|0.0|0
0|2020-05-18|135.0|0|10.0|0|0.0|0
0|2020-05-19|136.0|0|10.0|0|0.0|0
0|2020-05-20|136.0|0|10.0|0|0.0|0
0|2020-05-21|137.0|0|10.0|0|0.0|0
0|2020-05-22|136.0|0|10.0|0|0.0|0
0|2020-05-23|136.0|0|10.0|0|0.0|0
