|dates|Butler_Kansas_UnitedStates.JHU_ConfirmedCases.data|Butler_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Butler_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|14.0|0|0.0|0|0.0|0
0|2020-05-15|18.0|0|0.0|0|0.0|0
0|2020-05-16|18.0|0|0.0|0|0.0|0
