|dates|Benton_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Benton_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Benton_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|6.0|0|1.0|0|0.0|0
0|2020-05-15|6.0|0|1.0|0|0.0|0
0|2020-05-16|6.0|0|1.0|0|0.0|0
