|dates|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|70.0|0|1.0|0|0.0|0
0|2020-05-15|71.0|0|1.0|0|0.0|0
0|2020-05-16|71.0|0|1.0|0|0.0|0
