|dates|Unassigned_Colorado_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|83.0|0|1.0|0|0.0|0
0|2020-05-18|78.0|0|1.0|0|0.0|0
0|2020-05-19|65.0|0|1.0|0|0.0|0
0|2020-05-20|67.0|0|1.0|0|0.0|0
0|2020-05-21|91.0|0|1.0|0|0.0|0
0|2020-05-22|94.0|0|1.0|0|0.0|0
0|2020-05-23|94.0|0|1.0|0|0.0|0
