|dates|Schuyler_Illinois_UnitedStates.JHU_ConfirmedCases.data|Schuyler_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Schuyler_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Schuyler_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Schuyler_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Schuyler_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|12.0|0|0.0|0|0.0|0
0|2020-05-28|12.0|0|0.0|0|0.0|0
0|2020-05-29|12.0|0|0.0|0|0.0|0
0|2020-05-30|12.0|0|0.0|0|0.0|0
