|dates|Jackson_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Jackson_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Jackson_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|2721.0|0|24.0|0|0.0|0
0|2020-05-28|2721.0|0|24.0|0|0.0|0
0|2020-05-29|2721.0|0|24.0|0|0.0|0
0|2020-05-30|2721.0|0|24.0|0|0.0|0
