|dates|Natchitoches_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Natchitoches_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Natchitoches_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Natchitoches_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Natchitoches_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Natchitoches_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|147.0|0|13.0|0|0.0|0
0|2020-05-25|152.0|0|13.0|0|0.0|0
0|2020-05-26|152.0|0|13.0|0|0.0|0
