|dates|Windham_Vermont_UnitedStates.JHU_ConfirmedCases.data|Windham_Vermont_UnitedStates.JHU_ConfirmedCases.missing|Windham_Vermont_UnitedStates.JHU_ConfirmedDeaths.data|Windham_Vermont_UnitedStates.JHU_ConfirmedDeaths.missing|Windham_Vermont_UnitedStates.JHU_ConfirmedRecoveries.data|Windham_Vermont_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|77.0|0|3.0|0|0.0|0
0|2020-05-15|77.0|0|3.0|0|0.0|0
0|2020-05-16|77.0|0|3.0|0|0.0|0
