|dates|Heard_Georgia_UnitedStates.JHU_ConfirmedCases.data|Heard_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Heard_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Heard_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Heard_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Heard_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|17.0|0|1.0|0|0.0|0
0|2020-05-18|17.0|0|1.0|0|0.0|0
0|2020-05-19|20.0|0|1.0|0|0.0|0
0|2020-05-20|23.0|0|1.0|0|0.0|0
0|2020-05-21|24.0|0|2.0|0|0.0|0
0|2020-05-22|26.0|0|2.0|0|0.0|0
0|2020-05-23|26.0|0|2.0|0|0.0|0
