|dates|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedCases.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|100.0|0|12.0|0|0.0|0
0|2020-05-15|100.0|0|12.0|0|0.0|0
0|2020-05-16|100.0|0|12.0|0|0.0|0
