|dates|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|512.0|0|31.0|0|0.0|0
0|2020-05-25|514.0|0|31.0|0|0.0|0
0|2020-05-26|514.0|0|31.0|0|0.0|0
