|dates|Macon_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Macon_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Macon_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Macon_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Macon_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Macon_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|100.0|0|3.0|0|0.0|0
0|2020-05-25|101.0|0|3.0|0|0.0|0
0|2020-05-26|101.0|0|3.0|0|0.0|0
