|dates|Roane_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Roane_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Roane_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Roane_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Roane_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Roane_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|10.0|0|0.0|0|0.0|0
0|2020-05-28|10.0|0|0.0|0|0.0|0
0|2020-05-29|10.0|0|0.0|0|0.0|0
0|2020-05-30|10.0|0|0.0|0|0.0|0
