|dates|Humphreys_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Humphreys_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Humphreys_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Humphreys_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Humphreys_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Humphreys_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|53.0|0|7.0|0|0.0|0
0|2020-05-25|53.0|0|7.0|0|0.0|0
0|2020-05-26|53.0|0|7.0|0|0.0|0
