|dates|Comal_Texas_UnitedStates.JHU_ConfirmedCases.data|Comal_Texas_UnitedStates.JHU_ConfirmedCases.missing|Comal_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Comal_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Comal_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Comal_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|68.0|0|6.0|0|0.0|0
0|2020-05-15|68.0|0|6.0|0|0.0|0
0|2020-05-16|68.0|0|6.0|0|0.0|0
