|dates|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|4.0|0|1.0|0|0.0|0
0|2020-05-15|4.0|0|1.0|0|0.0|0
0|2020-05-16|4.0|0|1.0|0|0.0|0
