|dates|Lebanon_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Lebanon_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Lebanon_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Lebanon_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Lebanon_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Lebanon_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|936.0|0|31.0|0|0.0|0
0|2020-05-28|936.0|0|31.0|0|0.0|0
0|2020-05-29|936.0|0|31.0|0|0.0|0
0|2020-05-30|936.0|0|31.0|0|0.0|0
