|dates|Attala_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Attala_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Attala_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|249.0|0|7.0|0|0.0|0
0|2020-05-18|248.0|0|7.0|0|0.0|0
0|2020-05-19|259.0|0|9.0|0|0.0|0
0|2020-05-20|259.0|0|10.0|0|0.0|0
0|2020-05-21|257.0|0|11.0|0|0.0|0
0|2020-05-22|269.0|0|12.0|0|0.0|0
0|2020-05-23|269.0|0|12.0|0|0.0|0
