|dates|Lake_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Lake_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Lake_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Lake_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Lake_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Lake_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|401.0|0|0.0|0|0.0|0
0|2020-05-15|401.0|0|0.0|0|0.0|0
0|2020-05-16|401.0|0|0.0|0|0.0|0
