|dates|Medina_Texas_UnitedStates.JHU_ConfirmedCases.data|Medina_Texas_UnitedStates.JHU_ConfirmedCases.missing|Medina_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Medina_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Medina_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Medina_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|67.0|0|2.0|0|0.0|0
0|2020-05-25|67.0|0|2.0|0|0.0|0
0|2020-05-26|67.0|0|2.0|0|0.0|0
