|dates|Wilkinson_Georgia_UnitedStates.JHU_ConfirmedCases.data|Wilkinson_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Wilkinson_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Wilkinson_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Wilkinson_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Wilkinson_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|45.0|0|3.0|0|0.0|0
0|2020-05-18|45.0|0|3.0|0|0.0|0
0|2020-05-19|46.0|0|3.0|0|0.0|0
0|2020-05-20|49.0|0|3.0|0|0.0|0
0|2020-05-21|61.0|0|3.0|0|0.0|0
0|2020-05-22|63.0|0|3.0|0|0.0|0
0|2020-05-23|63.0|0|3.0|0|0.0|0
