|dates|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Bradford_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|41.0|0|2.0|0|0.0|0
0|2020-05-18|41.0|0|3.0|0|0.0|0
0|2020-05-19|41.0|0|3.0|0|0.0|0
0|2020-05-20|41.0|0|3.0|0|0.0|0
0|2020-05-21|43.0|0|3.0|0|0.0|0
0|2020-05-22|43.0|0|3.0|0|0.0|0
0|2020-05-23|43.0|0|3.0|0|0.0|0
