|dates|Pulaski_Georgia_UnitedStates.JHU_ConfirmedCases.data|Pulaski_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Pulaski_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Pulaski_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Pulaski_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Pulaski_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|38.0|0|1.0|0|0.0|0
0|2020-05-15|36.0|0|1.0|0|0.0|0
0|2020-05-16|36.0|0|1.0|0|0.0|0
