|dates|Beaver_Utah_UnitedStates.JHU_ConfirmedCases.data|Beaver_Utah_UnitedStates.JHU_ConfirmedCases.missing|Beaver_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Beaver_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Beaver_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Beaver_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|5792.0|0|63.0|0|0.0|0
0|2020-05-28|5792.0|0|63.0|0|0.0|0
0|2020-05-29|5792.0|0|63.0|0|0.0|0
0|2020-05-30|5792.0|0|63.0|0|0.0|0
