|dates|Pike_Missouri_UnitedStates.JHU_ConfirmedCases.data|Pike_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Pike_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|14.0|0|1.0|0|0.0|0
0|2020-05-25|14.0|0|1.0|0|0.0|0
0|2020-05-26|14.0|0|1.0|0|0.0|0
