|dates|Sumter_Alabama_UnitedStates.JHU_ConfirmedCases.data|Sumter_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Sumter_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Sumter_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Sumter_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Sumter_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|127.0|0|4.0|0|0.0|0
0|2020-05-18|136.0|0|4.0|0|0.0|0
0|2020-05-19|148.0|0|4.0|0|0.0|0
0|2020-05-20|164.0|0|5.0|0|0.0|0
0|2020-05-21|169.0|0|5.0|0|0.0|0
0|2020-05-22|172.0|0|6.0|0|0.0|0
0|2020-05-23|172.0|0|6.0|0|0.0|0
