|dates|Meriwether_Georgia_UnitedStates.JHU_ConfirmedCases.data|Meriwether_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Meriwether_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Meriwether_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Meriwether_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Meriwether_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|72.0|0|1.0|0|0.0|0
0|2020-05-15|73.0|0|1.0|0|0.0|0
0|2020-05-16|73.0|0|1.0|0|0.0|0
